Date,Biochemical Oxygen Demand,Conductivity,Temperature,Turbidity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Nitrate,pH,Rainfall,Total Coliform,WQI,Quality
01-01-2020,1.568545086,248.9470976,14.9,21.21778891,4.651738301,6722.865028,546.4675733,0.045261206,7.359339181,0.8,14764.52435,61.38454315703564,Poor
02-01-2020,1.4,234.0,16.7,9.274488824,4.3,2557.468188,118.0295395,0.0,7.3,2.0,3300.0,60.71415108904758,Poor
03-01-2020,1.621188224,253.6733888,18.9,25.81182293,4.762537695,8361.503375,685.5591339,0.059598122,7.378075277,0.0,18359.94904,61.50833091267701,Poor
04-01-2020,1.887899131,276.088974,17.6,44.19869246,5.299040893,14814.08129,1316.971242,0.126933211,7.467643122,0.5,36188.67728,53.383610424931376,Poor
05-01-2020,1.4,234.0,15.6,9.996576072,4.3,2861.714371,110.0,0.0,7.3,0.5,3300.0,60.70829993441667,Poor
06-01-2020,1.4,234.0,13.6,10.99967874,4.3,3232.368915,128.2100556,0.0,7.3,0.0,3300.0,60.721569668148355,Poor
07-01-2020,1.91879709,279.3121256,14.3,48.33037742,5.371369113,16318.87106,1420.12507,0.136904592,7.480212738,0.0,38412.61107,51.358423307245744,Poor
08-01-2020,1.680512576,259.6974076,16.9,33.21913266,4.89873677,11051.87585,875.7367149,0.078173289,7.401633141,0.0,22588.3016,61.66397566984867,Poor
09-01-2020,1.4,234.0,17.9,9.665547889,4.3,2831.237974,110.0,0.0,7.3,3.0,3300.0,60.70829993441667,Poor
10-01-2020,1.624390621,255.5441289,15.5,31.15076356,4.794998199,10375.34975,769.866785,0.065957273,7.384759195,4.1,18979.33223,61.552490977191574,Poor
11-01-2020,1.4,234.0,15.3,12.33529668,4.3,3815.384928,110.0,0.0,7.3,0.0,3300.0,60.70829993441667,Poor
12-01-2020,1.4,234.0,13.2,13.65231765,4.3,4302.94561,120.6610602,0.0,7.3,0.0,3300.0,60.716068687750486,Poor
